epoch,step,train_loss,val_loss,perplexity,top1_acc,top5_acc
1,1016,4.645806103475451,3.8660457939099353,47.75318145751953,0.23881779873970696,0.502106931611706
2,2032,4.140499111470275,3.668233027124101,39.1826057434082,0.2661692503962578,0.5365330343681138
3,3048,3.9843267122591572,3.580703765723356,35.89879608154297,0.2771098310588781,0.5568484942204353
4,4064,3.8892121796063552,3.53647026134904,34.3454704284668,0.28532493137975024,0.566378010592647
5,5080,3.8455240787483578,3.5307450415981805,34.14939880371094,0.2863300730660687,0.5665326477751575
6,6096,3.8393924576560345,3.5286932462339946,34.079402923583984,0.28555688715351607,0.5665133181273437
7,7112,3.842605167251872,3.5255965928363193,33.974037170410156,0.28706459968299375,0.5693161170603471
8,8128,3.8434799322931785,3.5121652685153255,33.52077102661133,0.29141377044110256,0.5707465109985697
9,9144,3.8327064427334494,3.500446248206363,33.13023376464844,0.28876560869060963,0.5733946727490625
10,10160,3.80363106187873,3.47967875990898,32.44929885864258,0.29301813120964937,0.5793095449800905
11,11176,3.7516163458505014,3.4396362441360573,31.175615310668945,0.30146518730428734,0.589592917617041
12,12192,3.6815639769467783,3.4032242328498015,30.060867309570312,0.3078633007306607,0.5972861174469402
13,13208,3.6073094829330294,3.37222704614044,29.143356323242188,0.315324544786794,0.6047087022074458
14,14224,3.5468088878890662,3.359988672718121,28.78886604309082,0.31735415780724474,0.6055012177678123
15,15240,3.518925853836255,3.358632257789563,28.74984359741211,0.31770209146789347,0.6057138438937643
16,16256,3.523436439084256,3.3611746715132598,28.823026657104492,0.3177407507635211,0.6067189855800827
17,17272,3.5411775771557816,3.3759615983173346,29.252397537231445,0.3142034252135926,0.6045154057293076
18,18288,3.5699873486841756,3.381366497392108,29.410932540893555,0.3112846483937063,0.6019252329222562
19,19304,3.5894932826672954,3.3936914942067142,29.775667190551758,0.311207329802451,0.6012293656009587
20,20320,3.588049073857585,3.3813413844746387,29.41019630432129,0.31292766845788067,0.6047473615030734
21,21336,3.5506829659300525,3.3592439062276465,28.767431259155273,0.3168515869640855,0.6095797734565276
22,22352,3.4887160381932896,3.3332906710873744,28.030426025390625,0.3239455677117563,0.6157266014613214
23,23368,3.4186241765191236,3.3152130454968494,27.528255462646484,0.32771484903545056,0.6200177832759887
24,24384,3.371383425992305,3.311419219727729,27.42401885986328,0.32873932036958287,0.6197085089109676
25,25400,3.358903084683606,3.311451447237829,27.424901962280273,0.3279274751614026,0.6200951018672439
26,26416,3.367494732610823,3.315019557430486,27.522933959960938,0.32843004600456177,0.6202497390497546
27,27432,3.396050082182321,3.33151411250898,27.980676651000977,0.32715428924884987,0.6180461591989794
28,28448,3.4320379251570214,3.348537792825395,28.461084365844727,0.3237522712336181,0.6145861522403062
29,29464,3.460191166541708,3.346847175792524,28.413007736206055,0.3226311516604167,0.6141608999884022
30,30480,3.456529475807205,3.342936391283752,28.302106857299805,0.3247767425677504,0.6153593381528588
31,31496,3.417393180563694,3.3225019707041943,27.72964096069336,0.32800479375265784,0.6200177832759887
32,32512,3.3539570187489818,3.3103996006546508,27.396068572998047,0.33011172536436384,0.6232844937565237
33,33528,3.2906965230862926,3.299428917040491,27.09716033935547,0.33457687400935554,0.6263965670545483
34,34544,3.2525675630006265,3.299257642903905,27.09252166748047,0.3350021262612595,0.6260872926895272
35,35560,3.249929618882382,3.300037936799845,27.113664627075195,0.3345188850659141,0.6256427107898094
36,36576,3.2656252743221645,3.307513396451428,27.317115783691406,0.33306916147987786,0.6253141067769745
37,37592,3.3033523057389447,3.3237240253740055,27.7635498046875,0.3290872540302316,0.6234198012912204
38,38608,3.346202275180441,3.3411412618722127,28.2513484954834,0.3264970812231801,0.621776781227046
39,39624,3.371657760359171,3.337442694196276,28.147052764892578,0.3265164108709939,0.6207329802450999
40,40640,3.3627962502907582,3.3255235662885534,27.81355857849121,0.331368152472262,0.6224726485483435
41,41656,3.3136979294574167,3.3096881596146117,27.376585006713867,0.3332237986623884,0.6258746665635753
42,42672,3.248580371770333,3.3009081372789515,27.137269973754883,0.33792090308114586,0.6301851780260563
43,43688,3.1905191296667565,3.299791847824291,27.10699462890625,0.3372443654076623,0.630958363938609
44,44704,3.166851956309296,3.2995884008468335,27.101482391357422,0.3375149804770557,0.6309003749951676
45,45720,3.1716031227994153,3.304641904344984,27.238786697387695,0.33606525689101946,0.6309970232342367
46,46736,3.1967507692303245,3.308324853326105,27.33928871154785,0.3361039161866471,0.6293540031700623
47,47752,3.2378635052151568,3.325122154442368,27.802392959594727,0.33318513936676075,0.6279622685274674
48,48768,3.283473159853868,3.3470904295611534,28.419925689697266,0.32841071635674796,0.6246762283991185
49,49784,3.3019478128650994,3.3317723395718133,27.98790168762207,0.3319867012023041,0.6242896354428422
50,50800,3.2796380496400546,3.3226793647571733,27.734560012817383,0.3321993273282561,0.6251981288900916
